responden_id,Q1. Apakah Anda bersedia menjadi responden dalam penelitian ini?,Apakah Anda memenuhi seluruh kriteria responden di atas?,jenis_kelamin,usia,semester,uang_saku_bulanan,perguruan_tinggi,frekuensi_penggunaan,jenis_transaksi_dominan,jumlah_ewallet_aktif_raw,ewallet_utama,ewallet_digunakan,lama_penggunaan,nominal_transaksi,pengeluaran_ewallet_bulanan,alasan_utama,kondisi_penggunaan,promo_memengaruhi,frekuensi_pindah_promo,Q22/S1.1. E-wallet membantu saya melakukan transaksi dengan lebih cepat.,Q23/S1.2. E-wallet membuat aktivitas pembayaran saya menjadi lebih praktis.,Q24/S1.3. E-wallet membantu saya memenuhi kebutuhan transaksi sehari-hari.,Q25/S1.4. E-wallet lebih efisien dibandingkan pembayaran tunai dalam beberapa situasi.,Q26/S2.1. Aplikasi e-wallet mudah saya gunakan.,Q27/S2.2. Fitur-fitur pada e-wallet mudah saya pahami.,Q28/S2.3. Saya tidak mengalami kesulitan saat melakukan transaksi menggunakan e-wallet.,Q29/S2.4. Proses top-up saldo e-wallet mudah dilakukan.,Q30/S3.1. Saya merasa saldo saya aman saat menggunakan e-wallet.,Q31/S3.2. Saya merasa transaksi menggunakan e-wallet terlindungi dengan baik.,"Q32/S3.3. Fitur keamanan seperti PIN, OTP, atau verifikasi biometrik membuat saya merasa lebih aman.",Q33/S3.4. Saya merasa data pribadi saya aman saat menggunakan e-wallet.,Q34/S4.1. Saya percaya penyedia e-wallet mampu menjaga keamanan transaksi saya.,Q35/S4.2. Saya percaya penyedia e-wallet akan membantu jika terjadi masalah transaksi.,Q36/S4.3. Saya percaya informasi pribadi saya dikelola dengan baik oleh penyedia e-wallet.,Q37/S4.4. Saya merasa nyaman menyimpan saldo di aplikasi e-wallet.,Q38/S5.1. Promo atau cashback membuat saya lebih tertarik menggunakan e-wallet.,Q39/S5.2. Saya lebih sering menggunakan e-wallet ketika ada promo atau diskon.,Q40/S5.3. Saya memilih e-wallet tertentu karena promo yang ditawarkan lebih menarik.,Q41/S5.4. Promo atau cashback menjadi salah satu alasan utama saya menggunakan e-wallet.,Q42/S6.1. Saya khawatir saldo e-wallet saya dapat hilang karena kesalahan sistem atau penyalahgunaan akun.,Q43/S6.2. Saya khawatir data pribadi saya disalahgunakan saat menggunakan e-wallet.,Q44/S6.3. Saya merasa penggunaan e-wallet memiliki risiko keamanan tertentu.,Q45/S6.4. Saya ragu menggunakan e-wallet untuk transaksi dengan nominal besar.,fitur_dibutuhkan,perlu_ditingkatkan,niat_lanjut,kepuasan,saran,S1_kegunaan_mean,S2_kemudahan_mean,S3_keamanan_mean,S4_kepercayaan_mean,S5_promo_insentif_mean,S6_persepsi_risiko_mean,jumlah_ewallet_dari_multiselect,jumlah_ewallet_outlier_flag,jumlah_ewallet_aktif_clean,usia_clean,semester_encoded,uang_saku_encoded,frekuensi_penggunaan_encoded,lama_penggunaan_encoded,nominal_transaksi_encoded,pengeluaran_ewallet_bulanan_encoded,promo_memengaruhi_encoded,frekuensi_pindah_promo_encoded,niat_lanjut_encoded,kepuasan_encoded,cluster,nama_segmen
1,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,21.0,Semester 8,Rp500.000 – Rp999.999,Universitas Islam Negeri Sumatera Utara,"Sangat jarang, kurang dari 1 kali dalam seminggu",Transfer ke teman / orang lain,1.0,DANA,DANA,6 bulan – kurang dari 1 tahun,Rp50.000 – Rp99.999,Rp100.000 – Rp299.999,Mudah untuk transfer uang,Saat transfer ke teman/keluarga,Cukup memengaruhi,Jarang,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Promo makanan/minuman, Cashback transaksi, Transfer gratis, Pembayaran UKT/kampus, Pembayaran transportasi, Keamanan akun yang lebih kuat, Integrasi dengan aplikasi belanja/transportasi",Kemudahan top-up,Berniat,5.0,-,5.0,5.0,4.25,5.0,5.0,5.0,1,False,1.0,21.0,8.0,2,1,2,3,2,3,2,4,5.0,1,Pengguna Aktif Responsif Promo
2,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,22.0,Semester 6,Rp3.000.000 atau lebih,Universitas Islam Negeri Sumatera Utara,"Cukup sering, 3–5 kali dalam seminggu",Transfer ke teman / orang lain,1.0,DANA,"DANA, GoPay, OVO",3 tahun atau lebih,Rp50.000 – Rp99.999,Rp100.000 – Rp299.999,Banyak merchant yang menerima e-wallet,Saat tidak membawa uang tunai,Tidak memengaruhi,Jarang,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"Promo makanan/minuman, Transfer gratis, Top-up mudah dan murah, Pembayaran UKT/kampus, Keamanan akun yang lebih kuat, Riwayat transaksi yang jelas, Integrasi dengan aplikasi belanja/transportasi",Keamanan akun,Berniat,3.0,"saldo w didana sering hilang, males banget walopun ga langganan, njir lah ma dana",3.25,3.0,2.75,2.5,2.75,3.0,3,False,1.0,22.0,6.0,6,3,5,3,2,2,2,4,3.0,2,Pengguna Positif Moderat/Selektif
3,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,22.0,Semester 8,Kurang dari Rp500.000,Universitas Islam Negeri Sumatera Utara,"Sering, 6–10 kali dalam seminggu",Transportasi,2.0,GoPay,"DANA, GoPay, ShopeePay",3 tahun atau lebih,Rp25.000 – Rp49.999,Rp100.000 – Rp299.999,Tidak perlu membawa uang tunai,Saat tidak membawa uang tunai,Cukup memengaruhi,Jarang,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,"Transfer gratis, Top-up mudah dan murah, Pembayaran transportasi, Keamanan akun yang lebih kuat, Integrasi dengan aplikasi belanja/transportasi",Keamanan akun,Berniat,4.0,,5.0,4.5,3.75,3.0,3.75,5.0,3,False,2.0,22.0,8.0,1,4,5,2,2,3,2,4,4.0,1,Pengguna Aktif Responsif Promo
4,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,22.0,Semester 8,Rp2.000.000 – Rp2.999.999,Universitas Islam Negeri Sumatera Utara,"Sering, 6–10 kali dalam seminggu",lainnya,3.0,DANA,"DANA, GoPay, lainnya",3 tahun atau lebih,Rp100.000 – Rp199.999,Rp1.000.000 atau lebih,Praktis dan cepat,Saat melakukan pembayaran rutin,Tidak memengaruhi,Jarang,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,"Promo makanan/minuman, Cashback transaksi, Transfer gratis, Top-up mudah dan murah, Pembayaran UKT/kampus, Pembayaran transportasi, Keamanan akun yang lebih kuat, Riwayat transaksi yang jelas, Integrasi dengan aplikasi belanja/transportasi",Perlindungan data pribadi,Berniat,5.0,"Positif: Kemudahan dan efisiensi adalah nilai utama. Bayar makan, transportasi, hingga keperluan akademik bisa dilakukan dalam hitungan detik tanpa perlu membawa uang tunai. Fitur seperti split bill juga sangat membantu dalam pergaulan antar mahasiswa. Promo dan cashback yang sering ditawarkan platform seperti GoPay, OVO, atau Dana juga secara nyata membantu menghemat pengeluaran, terutama bagi mahasiswa dengan anggaran terbatas. Transparansi transaksi lewat riwayat mutasi bisa membantu mahasiswa lebih sadar ke mana uangnya pergi — ini justru bisa menjadi alat kontrol keuangan yang baik jika dimanfaatkan. Negatif: Kemudahan justru bisa memicu pengeluaran impulsif. Karena tidak terasa ""mengeluarkan uang sungguhan"", godaan untuk membeli sesuatu yang tidak dibutuhkan menjadi jauh lebih besar. Fitur paylater dan cicilan adalah jebakan paling berbahaya. Banyak mahasiswa tergoda kemudahan ini, lalu terjebak utang konsumtif yang menumpuk sebelum akhir bulan. Ketergantungan digital juga patut diperhatikan — sinyal buruk, aplikasi error, atau saldo habis di momen krusial bisa menjadi masalah nyata.",4.75,4.75,5.0,4.0,2.25,2.75,3,False,3.0,22.0,8.0,5,4,5,4,5,2,2,4,5.0,1,Pengguna Aktif Responsif Promo
5,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,23.0,Semester 8,Rp1.000.000 – Rp1.499.999,Universitas Islam Negeri Sumatera Utara,"Sering, 6–10 kali dalam seminggu",Pembelian makanan/minuman,1.0,DANA,DANA,3 tahun atau lebih,Rp200.000 atau lebih,Rp1.000.000 atau lebih,Praktis dan cepat,Saat membeli makanan/minuman,Cukup memengaruhi,Tidak pernah,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,"Promo makanan/minuman, Transfer gratis, Top-up mudah dan murah, Riwayat transaksi yang jelas",Biaya admin,Berniat,5.0,menurut saya hal yg paling di tingkatkan dari layanan e-wallet adalah biaya admin terutama dana cuman gratis 10 kali dalam sebulan. kadang juga uang bisa hilang di dana tanpa notif pemberitahuan kalau kita ada berlangganan tiba tiba uang keluar setiap bulan dan kita harus betul” detail di dana berlangganan apa kalau tidak uang bisa tersedot sendiri setiap bulan nya,4.0,4.25,3.5,3.5,3.25,3.25,1,False,1.0,23.0,8.0,3,4,5,5,5,3,1,4,5.0,1,Pengguna Aktif Responsif Promo
6,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,21.0,Semester 6,Rp500.000 – Rp999.999,Universitas IsIam negeri Sumatra Utara,"Jarang, 1–2 kali dalam seminggu",Pembelian makanan/minuman,4.0,ShopeePay,"DANA, GoPay, OVO, ShopeePay",3 tahun atau lebih,Rp25.000 – Rp49.999,Kurang dari Rp100.000,Banyak promo/cashback,Saat membeli makanan/minuman,Memengaruhi,Sering,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,"Promo makanan/minuman, Cashback transaksi, Top-up mudah dan murah, Integrasi dengan aplikasi belanja/transportasi",Jumlah promo/cashback,Sangat berniat,4.0,Semoga lbh baik lagi,4.75,4.5,4.75,4.75,5.0,3.75,4,False,4.0,21.0,6.0,2,2,5,2,1,4,4,5,4.0,1,Pengguna Aktif Responsif Promo
7,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,21.0,Semester 8,Rp1.500.000 – Rp1.999.999,Universitas Islam Negeri Sumatera Utara,"Cukup sering, 3–5 kali dalam seminggu",Belanja online,2.0,DANA,DANA,2 tahun – kurang dari 3 tahun,Rp100.000 – Rp199.999,Rp100.000 – Rp299.999,Mudah untuk belanja online,Saat belanja online,Tidak memengaruhi,Jarang,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,Transfer gratis,Layanan bantuan/customer service,Berniat,5.0,"Penggunaan e-wallet bagi mahasiswa cukup bermanfaat karena memudahkan transaksi menjadi lebih praktis, dan sering menawarkan promo yang menguntungkan. Namun, mahasiswa perlu bijak dalam penggunaannya agar tidak menjadi lebih konsumtif dan tetap mampu mengontrol pengeluaran.",4.0,4.25,3.75,3.25,1.5,3.25,1,False,2.0,21.0,8.0,4,3,4,4,2,2,2,4,5.0,1,Pengguna Aktif Responsif Promo
8,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,20.0,Semester 6,Rp500.000 – Rp999.999,Universitas Islam Negeri Sumatera Utara,"Jarang, 1–2 kali dalam seminggu",Pembelian makanan/minuman,1.0,DANA,DANA,6 bulan – kurang dari 1 tahun,Rp25.000 – Rp49.999,Rp100.000 – Rp299.999,Praktis dan cepat,Saat membeli makanan/minuman,Cukup memengaruhi,Jarang,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,Promo makanan/minuman,Perlindungan data pribadi,Berniat,4.0,-,4.0,4.0,4.0,4.25,4.0,3.5,1,False,1.0,20.0,6.0,2,2,2,2,2,3,2,4,4.0,1,Pengguna Aktif Responsif Promo
9,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,19.0,Semester 4,Rp1.000.000 – Rp1.499.999,Universitas Islam Negeri Sumatera Utara,"Cukup sering, 3–5 kali dalam seminggu",Pembelian makanan/minuman,2.0,DANA,"DANA, ShopeePay",2 tahun – kurang dari 3 tahun,Rp25.000 – Rp49.999,Rp500.000 – Rp999.999,Mudah untuk transfer uang,Saat membeli makanan/minuman,Memengaruhi,Jarang,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,"Promo makanan/minuman, Transfer gratis, Top-up mudah dan murah, Pembayaran UKT/kampus, Pembayaran transportasi, Keamanan akun yang lebih kuat, Riwayat transaksi yang jelas",Perlindungan data pribadi,Berniat,4.0,"Dompet elektronik (e-wallet) sangat membantu mahasiswa dalam melakukan transaksi. Namun demikian, maraknya kasus kehilangan dana saat menggunakan e-wallet menimbulkan kekhawatiran. Oleh karena itu, penyedia layanan e-wallet sebaiknya meningkatkan sistem keamanan dalam penyimpanan dana agar kepercayaan pelanggan tetap terjaga.",5.0,4.0,3.5,2.75,4.0,4.5,2,False,2.0,19.0,4.0,3,3,4,2,4,4,2,4,4.0,1,Pengguna Aktif Responsif Promo
10,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,21.0,Semester 8,Rp500.000 – Rp999.999,Universitas Padjadjaran,"Jarang, 1–2 kali dalam seminggu",Belanja online,2.0,ShopeePay,"GoPay, ShopeePay",2 tahun – kurang dari 3 tahun,Rp25.000 – Rp49.999,Rp100.000 – Rp299.999,Mudah untuk belanja online,Saat belanja online,Tidak memengaruhi,Tidak pernah,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0,5.0,4.0,"Transfer gratis, Top-up mudah dan murah, Pembayaran transportasi, Keamanan akun yang lebih kuat, Integrasi dengan aplikasi belanja/transportasi",Biaya admin,Berniat,4.0,,4.75,5.0,5.0,4.5,2.0,4.25,2,False,2.0,21.0,8.0,2,2,4,2,2,2,1,4,4.0,1,Pengguna Aktif Responsif Promo
