fitur,importance,cluster_1,cluster_2,cluster_dengan_nilai_lebih_tinggi,selisih_rata_rata
S2_kemudahan_mean,0.1931,4.427698574338086,1.6602564102564104,Cluster 1,2.7674
S4_kepercayaan_mean,0.1667,4.343686354378819,1.6762820512820513,Cluster 1,2.6674
S5_promo_insentif_mean,0.1615,4.361507128309572,1.6506410256410255,Cluster 1,2.7109
S3_keamanan_mean,0.1443,4.3421588594704685,1.7532051282051282,Cluster 1,2.589
S6_persepsi_risiko_mean,0.1152,4.3905295315682284,1.6602564102564104,Cluster 1,2.7303
S1_kegunaan_mean,0.1111,4.375763747454175,1.7467948717948718,Cluster 1,2.629
promo_memengaruhi_encoded,0.0602,4.287169042769857,1.5384615384615385,Cluster 1,2.7487
frekuensi_pindah_promo_encoded,0.0439,4.246435845213849,1.5,Cluster 1,2.7464
pengeluaran_ewallet_bulanan_encoded,0.0012,3.580448065173116,3.8974358974358974,Cluster 2,0.317
frekuensi_penggunaan_encoded,0.0011,3.625254582484725,3.91025641025641,Cluster 2,0.285
jumlah_ewallet_aktif_clean,0.0011,2.9531568228105907,3.1153846153846154,Cluster 2,0.1622
nominal_transaksi_encoded,0.0003,2.8737270875763747,2.8974358974358974,Cluster 2,0.0237
lama_penggunaan_encoded,0.0003,3.8431771894093685,4.012820512820513,Cluster 2,0.1696
