cluster_aktual,cluster_prediksi,segmen_aktual,segmen_prediksi
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
2,2,Pengguna Positif Moderat/Selektif,Pengguna Positif Moderat/Selektif
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
2,2,Pengguna Positif Moderat/Selektif,Pengguna Positif Moderat/Selektif
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
2,2,Pengguna Positif Moderat/Selektif,Pengguna Positif Moderat/Selektif
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
2,2,Pengguna Positif Moderat/Selektif,Pengguna Positif Moderat/Selektif
2,2,Pengguna Positif Moderat/Selektif,Pengguna Positif Moderat/Selektif
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
2,2,Pengguna Positif Moderat/Selektif,Pengguna Positif Moderat/Selektif
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
2,2,Pengguna Positif Moderat/Selektif,Pengguna Positif Moderat/Selektif
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
1,1,Pengguna Aktif Responsif Promo,Pengguna Aktif Responsif Promo
